date,gross_return,cost,net_return,w_XLB,w_XLE,w_XLF,w_XLI,w_XLK,w_XLP,w_XLU,w_XLV,w_XLY,equity_net,equity_gross
2006-02-01,-0.007060949804490457,0.0005,-0.007560949804490458,0.0,0.32869650686933916,0.0,0.0,0.0,0.0,0.33518390226046185,0.33611959087019894,0.0,0.9924390501955096,0.9929390501955095
2006-02-02,-0.010354939157639487,0.0,-0.010354939157639487,0.0,0.3288264095568031,0.0,0.0,0.0,0.0,0.3342736478624388,0.3368999425807581,0.0,0.9821624042130696,0.9826572267434907
2006-02-03,-0.005322082217097142,0.0,-0.005322082217097142,0.0,0.32755988403735165,0.0,0.0,0.0,0.0,0.3343718329994788,0.33806828296316954,0.0,0.9769352551473057,0.977427444191537
2006-02-06,0.005347189506101342,0.0,0.005347189506101342,0.0,0.33218915959280726,0.0,0.0,0.0,0.0,0.3345881355760444,0.33322270483114824,0.0,0.9821591130917697,0.9826539339640934
2006-02-07,-0.01644126208884734,0.0,-0.01644126208884734,0.0,0.32362658192748583,0.0,0.0,0.0,0.0,0.3381333017152145,0.33824011635729967,0.0,0.9660111777004781,0.9664978630931529
2006-02-08,0.004334020727130434,0.0,0.004334020727130434,0.0,0.3222903853874385,0.0,0.0,0.0,0.0,0.33656832853108537,0.34114128608147615,0.0,0.9701978901672716,0.9706866848645259
2006-02-09,-0.005836999512247129,0.0,-0.005836999512247129,0.0,0.3167995737516661,0.0,0.0,0.0,0.0,0.33972814915094335,0.34347227709739053,0.0,0.9645348455555821,0.9650207871584269
2006-02-10,-0.0016764207915975482,0.0,-0.0016764207915975482,0.0,0.3161881904120866,0.0,0.0,0.0,0.0,0.34051293915667996,0.34329887043123336,0.0,0.9629178792862724,0.9634030062465107
2006-02-13,-0.0021221187743514676,0.0,-0.0021221187743514676,0.0,0.3155937985685023,0.0,0.0,0.0,0.0,0.34080714580371896,0.3435990556277787,0.0,0.9608744531764803,0.9613585506396883
2006-02-14,-0.0005383379799437787,0.0,-0.0005383379799437787,0.0,0.31220778541558986,0.0,0.0,0.0,0.0,0.3406730224336402,0.34711919215076986,0.0,0.9603571779643778,0.9608410148195353
